;GHI
0;0
1;0
2;0
3;0
4;0
5;0
6;0
7;56
8;110
9;355
10;135
11;384
12;628
13;808
14;874
15;795
16;549
17;316
18;77
19;0
20;0
21;0
22;0
23;0
24;0
25;0
26;0
27;0
28;0
29;0
30;0
31;49
32;155
33;220
34;313
35;855
36;995
37;1089
38;964
39;623
40;568
41;57
42;67
43;0
44;0
45;0
46;0
47;0
48;0
49;0
50;0
51;0
52;0
53;0
54;0
55;33
56;50
57;189
58;176
59;415
60;94
61;95
62;88
63;74
64;83
65;92
66;131
67;0
68;0
69;0
70;0
71;0
72;0
73;0
74;0
75;0
76;0
77;0
78;0
79;25
80;78
81;107
82;326
83;765
84;905
85;844
86;945
87;420
88;56
89;35
90;93
91;0
92;0
93;0
94;0
95;0
96;0
97;0
98;0
99;0
100;0
101;0
102;0
103;65
104;74
105;259
106;574
107;749
108;917
109;974
110;962
111;332
112;589
113;330
114;123
115;0
116;0
117;0
118;0
119;0
120;0
121;0
122;0
123;0
124;0
125;0
126;0
127;124
128;383
129;501
130;670
131;885
132;742
133;981
134;990
135;829
136;614
137;296
138;147
139;0
140;0
141;0
142;0
143;0
144;0
145;0
146;0
147;0
148;0
149;0
150;0
151;91
152;145
153;403
154;519
155;853
156;985
157;862
158;701
159;75
160;62
161;88
162;69
163;0
164;0
165;0
166;0
167;0
168;0
169;0
170;0
171;0
172;0
173;0
174;0
175;39
176;280
177;512
178;709
179;884
180;1047
181;891
182;655
183;855
184;601
185;311
186;134
187;0
188;0
189;0
190;0
191;0
192;0
193;0
194;0
195;0
196;0
197;0
198;0
199;58
200;358
201;603
202;518
203;930
204;124
205;95
206;88
207;75
208;113
209;60
210;118
211;0
212;0
213;0
214;0
215;0
216;0
217;0
218;0
219;0
220;0
221;0
222;0
223;21
224;145
225;119
226;495
227;852
228;934
229;915
230;477
231;799
232;419
233;172
234;79
235;0
236;0
237;0
238;0
239;0
240;0
241;0
242;0
243;0
244;0
245;0
246;0
247;25
248;54
249;255
250;209
251;648
252;652
253;717
254;916
255;602
256;413
257;396
258;155
259;0
260;0
261;0
262;0
263;0
264;0
265;0
266;0
267;0
268;0
269;0
270;0
271;52
272;33
273;55
274;96
275;87
276;145
277;191
278;489
279;386
280;634
281;230
282;140
283;0
284;0
285;0
286;0
287;0
288;0
289;0
290;0
291;0
292;0
293;0
294;0
295;18
296;58
297;254
298;437
299;523
300;907
301;957
302;712
303;554
304;58
305;57
306;14
307;0
308;0
309;0
310;0
311;0
312;0
313;0
314;0
315;0
316;0
317;0
318;0
319;83
320;229
321;88
322;199
323;424
324;788
325;525
326;474
327;256
328;118
329;240
330;96
331;0
332;0
333;0
334;0
335;0
336;0
337;0
338;0
339;0
340;0
341;0
342;0
343;47
344;116
345;305
346;585
347;622
348;483
349;879
350;729
351;433
352;58
353;210
354;154
355;0
356;0
357;0
358;0
359;0
360;0
361;0
362;0
363;0
364;0
365;0
366;0
367;12
368;169
369;101
370;265
371;601
372;998
373;293
374;117
375;82
376;72
377;242
378;31
379;0
380;0
381;0
382;0
383;0
384;0
385;0
386;0
387;0
388;0
389;0
390;0
391;34
392;88
393;232
394;343
395;559
396;602
397;102
398;635
399;735
400;196
401;130
402;14
403;0
404;0
405;0
406;0
407;0
408;0
409;0
410;0
411;0
412;0
413;0
414;0
415;10
416;80
417;154
418;173
419;148
420;433
421;1017
422;89
423;136
424;622
425;126
426;77
427;0
428;0
429;0
430;0
431;0
432;0
433;0
434;0
435;0
436;0
437;0
438;0
439;15
440;187
441;587
442;757
443;819
444;965
445;801
446;684
447;838
448;648
449;195
450;147
451;0
452;0
453;0
454;0
455;0
456;0
457;0
458;0
459;0
460;0
461;0
462;0
463;96
464;162
465;399
466;800
467;928
468;823
469;853
470;915
471;665
472;649
473;346
474;107
475;0
476;0
477;0
478;0
479;0
480;0
481;0
482;0
483;0
484;0
485;0
486;0
487;109
488;361
489;607
490;808
491;927
492;988
493;1036
494;515
495;83
496;59
497;51
498;62
499;0
500;0
501;0
502;0
503;0
504;0
505;0
506;0
507;0
508;0
509;0
510;0
511;31
512;59
513;149
514;402
515;105
516;95
517;96
518;90
519;77
520;85
521;45
522;15
523;0
524;0
525;0
526;0
527;0
528;0
529;0
530;0
531;0
