;water_pump_kw;cold_storage_compressor_load_kw
0;0;0
1;0;0
2;0;0
3;0;0
4;0;0
5;0;0
6;0;0
7;0;0
8;0;0
9;0.813256782;0.100991885
10;1.779815618;0.198376916
11;2.661560131;0.640216411
12;2.071587842;0.243462579
13;2.567121393;0.69251578
14;1.863871706;1.132551849
15;0.243434407;1.45716862
16;0;1.57619477
17;0;1.433724076
18;0;0.990081154
19;0;0.569882777
20;0;0.138863841
21;0;0
22;0;0
23;0;0
24;0;0
25;0;0
26;0;0
27;0;0
28;0;0
29;0;0
30;0;0
31;0;0
32;0;0
33;0.277573527;0.088367899
34;1.428943847;0.279531109
35;2.413945235;0.396753832
36;1.588074328;0.564472498
37;2.040139985;1.541929666
38;1.702774466;1.794409378
39;0.723215365;1.96393147
40;0;1.738503156
41;0;1.123534716
42;0;1.024346258
43;0;0.102795311
44;0;0.120829576
45;0;0
46;0;0
47;0;0
48;0;0
49;0;0
50;0;0
51;0;0
52;0;0
53;0;0
54;0;0
55;0;0
56;0;0
57;0.658334357;0.059513075
58;1.811457759;0.090171326
59;2.369286546;0.34084761
60;0.927013123;0.317403066
61;2.565326206;0.748422002
62;1.547564283;0.169522092
63;0.780376321;0.171325518
64;0;0.158701533
65;0;0.133453562
66;0;0.1496844
67;0;0.165915239
68;0;0.236248873
69;0;0
70;0;0
71;0;0
72;0;0
73;0;0
74;0;0
75;0;0
76;0;0
77;0;0
78;0;0
79;0;0
80;0;0
81;0.465340922;0.045085663
82;1.815554004;0.140667268
83;1.690990285;0.192966637
84;1.992798331;0.587917042
85;2.45409424;1.37962128
86;1.323779806;1.632100992
87;0.579579783;1.522091975
88;0;1.704238052
89;0;0.757439134
90;0;0.100991885
91;0;0.063119928
92;0;0.167718665
93;0;0
94;0;0
95;0;0
96;0;0
97;0;0
98;0;0
99;0;0
100;0;0
101;0;0
102;0;0
103;0;0
104;0;0
105;0.68894449;0.117222723
106;1.147507287;0.133453562
107;1.533803305;0.467087466
108;2.071688522;1.035166817
109;3.683349648;1.350766456
110;1.490814524;1.65374211
111;0.559668209;1.756537421
112;0;1.734896303
113;0;0.598737601
114;0;1.062218215
115;0;0.595130748
116;0;0.221821461
117;0;0
118;0;0
119;0;0
120;0;0
121;0;0
122;0;0
123;0;0
124;0;0
125;0;0
126;0;0
127;0;0
128;0;0
129;0.660595143;0.223624887
130;0.982690918;0.690712353
131;2.748921134;0.903516682
132;2.141648801;1.208295762
133;0.584799393;1.596032462
134;0.99042176;1.338142471
135;0.873086927;1.769161407
136;0;1.785392245
137;0;1.495040577
138;0;1.107303877
139;0;0.533814247
140;0;0.265103697
141;0;0
142;0;0
143;0;0
144;0;0
145;0;0
146;0;0
147;0;0
148;0;0
149;0;0
150;0;0
151;0;0
152;0;0
153;0.578368798;0.164111812
154;0.971911045;0.261496844
155;2.44890901;0.726780884
156;2.291186111;0.935978359
157;2.455572155;1.538322813
158;1.430349642;1.776375113
159;0.784239013;1.554553652
160;0;1.264201984
161;0;0.135256988
162;0;0.111812444
163;0;0.158701533
164;0;0.124436429
165;0;0
166;0;0
167;0;0
168;0;0
169;0;0
170;0;0
171;0;0
172;0;0
173;0;0
174;0;0
175;0;0
176;0;0
177;0.628050983;0.070333634
178;0.811511059;0.504959423
179;3.041939056;0.923354373
180;2.529636403;1.278629396
181;2.23329423;1.594229035
182;1.849087228;1.888187556
183;0.418583887;1.606853021
184;0;1.181244364
185;0;1.541929666
186;0;1.083859333
187;0;0.560865645
188;0;0.241659152
189;0;0
190;0;0
191;0;0
192;0;0
193;0;0
194;0;0
195;0;0
196;0;0
197;0;0
198;0;0
199;0;0
200;0;0
201;0.674787466;0.104598738
202;1.563077254;0.645626691
203;2.216421284;1.087466186
204;1.162726229;0.934174932
205;2.684048355;1.677186655
206;1.576135102;0.223624887
207;0.818433439;0.171325518
208;0;0.158701533
209;0;0.135256988
210;0;0.203787196
211;0;0.108205591
212;0;0.212804328
213;0;0
214;0;0
215;0;0
216;0;0
217;0;0
218;0;0
219;0;0
220;0;0
221;0;0
222;0;0
223;0;0
224;0;0
225;0.719200837;0.037871957
226;1.223447862;0.261496844
227;1.617774206;0.214607755
228;1.266107304;0.892696123
229;2.545376087;1.536519387
230;0.869401838;1.684400361
231;0.749093126;1.650135257
232;0;0.860234445
233;0;1.440937782
234;0;0.755635708
235;0;0.31018936
236;0;0.142470694
237;0;0
238;0;0
239;0;0
240;0;0
241;0;0
242;0;0
243;0;0
244;0;0
245;0;0
246;0;0
247;0;0
248;0;0
249;0.722287998;0.045085663
250;0.867754624;0.097385032
251;1.727623874;0.45987376
252;2.355034631;0.376916141
253;1.585293815;1.168620379
254;2.131981351;1.175834085
255;0.738959294;1.293056808
256;0;1.651938683
257;0;1.085662759
258;0;0.744815149
259;0;0.714156898
260;0;0.279531109
261;0;0
262;0;0
263;0;0
264;0;0
265;0;0
266;0;0
267;0;0
268;0;0
269;0;0
270;0;0
271;0;0
272;0;0
273;0.66230184;0.093778179
274;1.522274016;0.059513075
275;3.032441593;0.099188458
276;1.288893772;0.173128945
277;2.49375858;0.156898106
278;1.268900702;0.261496844
279;0.679858536;0.344454463
280;0;0.881875564
281;0;0.696122633
282;0;1.143372408
283;0;0.414788097
284;0;0.252479711
285;0;0
286;0;0
287;0;0
288;0;0
289;0;0
290;0;0
291;0;0
292;0;0
293;0;0
294;0;0
295;0;0
296;0;0
297;0.820902211;0.032461677
298;1.680697408;0.104598738
299;2.104087882;0.458070334
300;2.496473778;0.788097385
301;1.581061532;0.943192065
302;2.241854254;1.635707845
303;0.572836703;1.72587917
304;0;1.284039675
305;0;0.999098287
306;0;0.104598738
307;0;0.102795311
308;0;0.025247971
309;0;0
310;0;0
311;0;0
312;0;0
313;0;0
314;0;0
315;0;0
316;0;0
317;0;0
318;0;0
319;0;0
320;0;0
321;0.603780129;0.1496844
322;1.39452605;0.412984671
323;2.017911083;0.158701533
324;2.613814472;0.358881876
325;1.842152134;0.76465284
326;1.026826033;1.42110009
327;1.019724704;0.946798918
328;0;0.854824166
329;0;0.461677187
330;0;0.212804328
331;0;0.432822362
332;0;0.173128945
333;0;0
334;0;0
335;0;0
336;0;0
337;0;0
338;0;0
339;0;0
340;0;0
341;0;0
342;0;0
343;0;0
344;0;0
345;0.599785045;0.084761046
346;1.602990297;0.209197475
347;2.896071158;0.550045086
348;1.91883977;1.055004509
349;2.153631233;1.121731289
350;1.902873327;0.871055005
351;0.684244434;1.585211903
352;0;1.314697926
353;0;0.780883679
354;0;0.104598738
355;0;0.378719567
356;0;0.277727683
357;0;0
358;0;0
359;0;0
360;0;0
361;0;0
362;0;0
363;0;0
364;0;0
365;0;0
366;0;0
367;0;0
368;0;0
369;0.456714519;0.021641118
370;1.93874783;0.30477908
371;1.353543855;0.182146078
372;2.54507393;0.477908025
